"","M032166","M032721","M032757","M032760A","M032760B","M032760C","M032761","M032692","M032626","M032595","M032673"
"1",1,0,2,0,1,0,2,2,0,1,1
"2",1,0,1,2,0,0,2,0,0,1,1
"3",1,1,2,2,0,1,0,0,0,1,1
"4",1,1,2,2,1,0,2,2,1,1,1
"5",1,0,2,2,1,0,0,2,1,1,1
"6",1,0,0,0,0,0,0,0,0,0,1
"7",1,0,0,0,0,0,0,0,0,0,1
"8",1,1,2,2,1,1,2,2,1,1,1
"9",1,0,2,2,1,1,1,1,1,1,1
"10",1,0,2,2,1,0,0,0,1,0,1
"11",0,0,0,0,0,0,0,0,0,1,0
"12",0,0,0,0,0,0,0,0,1,0,0
"13",1,0,2,2,1,0,0,0,1,1,1
"14",1,0,2,2,1,0,2,0,0,1,1
"15",1,0,2,2,1,0,1,0,1,1,1
"16",0,1,2,0,0,0,0,0,1,1,1
"17",0,0,2,0,0,0,0,0,0,1,1
"18",1,1,2,0,0,0,0,0,1,1,1
"19",1,0,1,0,0,0,0,0,0,1,1
"20",1,1,0,0,0,0,0,0,0,0,1
"21",1,1,2,2,1,1,1,2,0,1,1
"22",1,0,2,2,0,0,0,0,1,1,1
"23",0,0,0,0,0,0,0,0,1,0,1
"24",1,1,2,0,0,0,0,0,0,1,0
"25",0,0,0,0,0,0,0,0,0,0,0
"26",1,1,2,0,0,0,1,0,0,1,1
"27",1,1,2,2,1,1,1,1,0,1,1
"28",1,1,0,0,0,0,0,0,0,1,0
"29",0,1,2,1,1,0,0,0,1,1,0
"30",1,1,2,2,1,0,2,2,0,1,1
"31",1,1,2,2,1,0,1,0,0,1,1
"32",1,1,2,2,1,1,1,2,1,1,1
"33",1,0,1,2,1,1,0,0,1,1,1
"34",0,0,2,0,0,0,0,0,1,0,0
"35",1,0,2,2,0,0,1,1,1,1,1
"36",1,1,2,2,1,1,2,1,1,1,1
"37",1,1,2,2,0,1,1,0,1,1,1
"38",1,0,2,2,0,0,0,0,1,1,0
"39",1,1,2,0,1,0,0,0,0,0,1
"40",0,1,2,0,0,0,0,0,0,1,0
"41",1,0,1,0,0,0,0,0,1,1,0
"42",1,1,2,2,1,0,0,0,0,1,1
"43",1,0,1,1,0,0,0,0,0,1,0
"44",1,1,2,0,0,0,0,0,0,0,1
"45",1,1,2,2,1,1,1,1,1,1,1
"46",1,0,2,0,0,0,0,0,1,0,0
"47",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"48",1,0,0,0,0,0,0,0,0,0,0
"49",1,0,2,0,0,0,0,0,1,1,1
"50",0,0,0,0,0,0,0,0,1,1,1
"51",1,1,0,0,0,0,0,0,0,0,0
"52",1,1,2,0,0,0,0,0,0,0,0
"53",1,0,2,0,0,0,0,0,0,0,1
"54",1,0,0,0,0,0,0,0,0,0,1
"55",1,1,2,2,1,1,1,2,1,1,1
"56",1,0,2,2,1,1,1,0,1,1,1
"57",1,0,0,0,0,0,0,0,0,0,1
"58",1,1,2,1,1,0,1,2,1,1,1
"59",1,0,2,2,0,1,2,0,1,1,1
"60",1,1,0,0,0,0,0,0,0,1,0
"61",0,0,2,0,0,0,0,0,0,1,1
"62",0,1,2,0,0,0,0,0,0,1,1
"63",0,0,0,0,0,0,0,0,1,0,0
"64",1,0,2,0,0,0,0,0,1,0,1
"65",1,1,0,0,0,0,0,0,0,0,1
"66",1,0,2,2,0,1,2,0,1,1,1
"67",0,0,0,0,0,0,0,0,0,0,0
"68",1,0,2,0,0,0,0,0,0,1,0
"69",0,1,2,0,0,0,0,0,0,0,0
"70",1,1,2,0,0,0,0,0,1,1,0
"71",1,0,2,2,1,1,1,2,1,1,1
"72",1,0,0,0,0,0,0,0,0,0,0
"73",0,1,2,0,0,0,0,0,0,0,0
"74",1,1,2,2,0,0,0,0,1,1,1
"75",1,1,2,2,0,0,1,2,1,1,1
"76",1,1,2,1,1,0,2,0,1,1,1
"77",1,1,2,2,1,1,2,0,1,1,1
"78",1,0,0,0,0,0,0,0,0,0,0
"79",1,0,0,2,1,0,0,0,0,1,1
"80",1,0,1,0,0,0,0,0,0,0,1
"81",1,1,2,0,0,0,0,0,1,1,1
"82",1,1,2,2,0,0,2,0,1,1,1
"83",1,0,2,0,0,0,0,0,0,1,1
"84",1,0,0,0,1,0,0,0,0,0,1
"85",1,0,2,0,1,0,2,0,1,1,1
"86",1,1,0,0,0,0,0,0,1,0,0
"87",1,0,2,0,0,0,0,0,0,1,1
"88",1,0,2,0,0,0,0,0,1,0,1
"89",1,1,2,2,0,1,2,2,1,1,1
"90",1,1,2,2,0,0,2,0,1,1,1
"91",1,1,2,0,1,0,0,0,1,1,1
"92",1,0,0,0,0,0,0,1,1,1,1
"93",1,0,1,2,1,0,0,0,1,1,1
"94",1,0,2,0,0,0,0,0,0,0,0
"95",0,0,2,0,0,0,0,0,1,1,1
"96",1,0,0,0,0,0,0,0,0,0,0
"97",1,1,0,0,0,0,0,0,0,1,1
"98",1,1,2,2,0,1,2,2,1,1,1
"99",0,0,2,2,1,0,0,0,0,1,1
"100",0,1,0,0,0,0,0,1,0,1,0
"101",1,1,2,2,1,1,0,0,1,1,0
"102",1,1,2,2,1,0,0,2,0,1,1
"103",1,1,2,2,1,1,1,0,1,1,1
"104",1,1,0,2,1,1,1,1,1,1,1
"105",1,1,2,2,1,1,2,2,1,1,1
"106",1,1,0,0,0,0,0,0,0,0,0
"107",1,1,1,0,0,0,0,0,0,0,0
"108",1,0,2,2,1,1,2,2,1,1,1
"109",1,1,2,2,1,1,2,0,1,1,1
"110",1,0,2,2,1,1,2,2,1,1,1
"111",1,1,2,2,1,1,2,2,1,1,0
"112",1,0,2,2,1,1,2,2,1,1,1
"113",1,1,2,2,1,1,1,0,1,1,1
"114",1,1,2,0,0,0,0,0,1,1,1
"115",1,0,2,2,1,0,2,0,1,1,1
"116",1,1,2,0,0,0,2,0,1,1,1
"117",0,1,0,0,0,0,0,0,1,1,0
"118",1,1,2,0,0,0,0,0,1,0,1
"119",1,1,2,2,1,1,2,0,1,1,1
"120",1,1,0,0,0,0,0,0,0,0,0
"121",1,0,0,0,0,0,0,0,0,1,1
"122",1,1,0,0,0,0,0,0,0,0,0
"123",1,0,1,2,1,0,0,0,0,1,1
"124",1,0,2,0,1,1,0,0,1,1,1
"125",0,0,0,0,0,0,0,0,0,0,0
"126",0,0,2,0,0,0,0,0,1,0,0
"127",0,1,2,0,0,0,0,2,0,0,1
"128",1,0,2,0,0,0,0,1,1,1,1
"129",0,0,2,0,0,0,0,0,0,0,0
"130",1,1,2,2,1,1,0,0,0,0,1
"131",1,1,2,2,0,0,0,0,1,1,1
"132",1,0,2,0,0,0,0,0,1,0,1
"133",1,0,0,0,0,0,0,0,0,0,1
"134",1,0,1,0,0,0,0,1,0,0,1
"135",1,1,0,0,0,0,0,0,1,0,1
"136",0,1,0,0,0,0,0,0,0,1,1
"137",1,1,0,0,0,0,0,0,0,0,1
"138",0,1,0,0,0,0,0,0,0,0,0
"139",1,0,0,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,0,0,0,1,0
"141",1,0,0,0,0,0,0,0,0,0,0
"142",0,0,1,0,0,0,0,0,1,1,0
"143",1,1,2,2,1,0,1,0,1,1,1
"144",1,1,0,0,0,0,0,0,1,1,0
"145",0,0,2,0,1,0,0,0,0,0,0
"146",1,1,2,2,1,1,0,0,1,1,1
"147",1,1,2,2,1,0,2,0,1,1,1
"148",1,0,0,0,0,0,0,1,0,1,1
"149",1,1,2,2,1,1,2,2,1,1,1
"150",1,0,2,0,0,0,0,0,0,1,1
"151",1,0,2,2,1,1,1,2,0,1,1
"152",1,0,2,2,1,1,1,0,1,0,1
"153",0,1,2,0,0,0,0,0,1,0,0
"154",0,1,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0,0
"156",1,1,0,0,0,0,0,0,0,0,1
"157",0,0,2,2,0,0,1,0,0,1,1
"158",0,1,0,0,0,0,0,0,0,1,0
"159",1,1,1,0,0,0,0,0,1,1,1
"160",1,0,2,0,0,0,0,0,0,0,1
"161",1,0,2,2,1,0,0,0,0,0,1
"162",1,0,2,0,0,0,0,0,0,1,1
"163",1,1,2,1,0,0,1,0,1,1,1
"164",1,1,2,2,1,0,1,0,1,1,1
"165",0,1,0,0,0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0,0,0,0,0
"167",0,1,1,0,0,0,0,0,0,0,0
"168",1,1,2,0,0,0,0,0,0,1,1
"169",1,0,2,0,0,0,0,0,1,1,1
"170",0,1,2,0,0,0,0,0,0,1,0
"171",1,0,2,0,1,0,0,0,1,0,0
"172",1,0,0,0,0,0,0,0,0,0,1
"173",0,1,0,0,0,0,0,0,0,0,0
"174",1,1,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,1
"176",1,0,0,0,0,0,0,0,0,0,1
"177",1,1,2,2,0,0,1,2,0,1,1
"178",1,0,2,0,0,0,0,1,1,1,1
"179",1,1,2,0,0,0,0,0,1,0,1
"180",1,0,2,2,1,1,1,0,0,1,0
"181",1,0,0,0,0,0,0,0,0,0,1
"182",1,0,1,0,0,0,0,0,0,1,0
"183",1,0,0,2,0,0,0,0,0,1,1
"184",1,1,0,0,0,0,0,0,0,1,0
"185",1,0,2,0,0,0,0,0,0,0,0
"186",0,1,0,0,0,0,0,0,0,0,0
"187",1,0,2,2,1,1,2,0,1,1,1
"188",1,1,2,2,1,0,1,0,1,1,1
"189",1,1,2,2,0,0,0,0,1,1,1
"190",0,1,0,0,0,0,0,0,0,0,0
"191",0,1,0,0,0,0,0,0,0,0,0
"193",0,1,0,0,0,0,0,0,0,0,0
"194",1,1,2,2,1,1,0,0,1,0,1
"195",0,0,0,0,0,0,0,0,0,0,0
"196",1,0,2,0,0,0,0,0,0,1,1
"197",1,0,1,0,0,0,0,0,0,0,1
"198",1,0,0,0,0,0,0,0,0,1,1
"199",0,0,0,0,0,0,0,0,0,0,1
"200",1,1,2,2,1,0,2,0,0,1,1
"201",0,0,0,0,0,0,0,0,1,1,0
"202",1,1,2,2,0,0,2,2,0,1,1
"203",1,1,2,0,0,0,0,2,1,1,1
"204",0,0,2,0,0,0,0,0,0,0,0
"205",0,0,2,0,0,0,0,0,0,0,0
"206",1,1,0,0,0,0,0,0,1,1,0
"207",1,0,2,2,0,0,0,0,0,1,0
"208",1,0,2,0,0,0,0,0,0,1,1
"209",1,0,2,2,1,0,0,0,1,1,1
"210",1,0,0,0,0,0,0,0,0,1,1
"211",1,1,2,2,1,0,0,0,0,1,1
"212",1,0,2,0,0,0,1,0,1,1,1
"213",1,0,2,1,0,0,0,0,1,0,0
"214",1,0,0,0,0,0,0,1,0,1,1
"215",1,1,0,0,0,0,0,1,1,1,1
"216",1,1,2,2,1,0,2,0,1,0,1
"217",1,1,2,2,1,1,1,1,1,1,1
"218",1,1,2,2,1,1,2,2,1,1,1
"219",1,1,2,2,1,1,2,1,1,1,1
"220",1,0,2,2,0,0,0,0,1,1,1
"221",1,0,2,2,0,0,0,0,0,1,1
"222",1,1,2,0,0,0,0,0,1,1,1
"223",1,0,2,2,1,1,2,1,1,1,1
"224",1,1,2,0,0,0,0,0,0,0,1
"225",1,1,2,2,1,1,0,0,0,1,1
"226",1,0,1,0,0,0,0,0,0,0,0
"227",0,1,0,0,0,0,0,0,0,0,0
"228",1,0,0,0,0,0,0,0,1,1,0
"229",1,0,0,0,0,0,1,0,0,0,0
"230",0,0,0,0,0,0,0,0,1,0,1
"231",0,0,0,0,0,0,0,0,0,0,1
"232",0,0,2,0,0,0,1,0,0,1,1
"233",1,0,0,2,0,0,0,0,0,0,1
"234",0,0,0,0,0,0,0,0,0,0,0
"235",0,1,0,0,0,0,0,0,0,1,0
"236",1,1,2,2,0,1,2,0,0,1,0
"237",1,0,2,2,0,0,0,0,0,0,1
"238",1,1,2,0,0,0,0,0,0,1,1
"239",0,0,2,0,0,0,0,0,0,0,0
"240",1,0,2,0,0,0,0,0,0,1,1
"241",1,1,2,2,1,1,0,0,1,0,1
"242",1,0,0,0,0,0,1,0,0,0,1
"243",1,0,2,0,0,0,0,2,1,1,1
"244",1,1,2,2,1,1,0,0,0,0,1
"245",1,1,2,1,0,0,0,0,0,0,0
"246",0,0,2,0,0,0,0,0,1,0,0
"247",0,1,0,0,0,0,0,0,0,0,1
"248",1,0,2,2,1,0,2,1,1,1,1
"249",1,1,2,2,1,0,2,0,1,1,0
"250",1,0,1,0,0,0,0,0,0,1,1
"251",1,1,2,2,0,0,0,0,0,1,0
"252",1,0,0,0,0,0,0,0,1,1,1
"253",1,0,0,0,0,0,0,0,1,1,0
"254",0,1,2,0,0,0,0,2,0,1,0
"255",0,0,2,0,0,0,0,0,0,0,0
"256",1,1,2,2,1,1,2,0,1,1,1
"257",1,0,2,2,0,1,2,2,1,0,1
"258",0,1,2,0,0,0,0,0,0,1,1
"259",0,0,0,0,0,0,0,0,1,0,0
"260",0,0,2,0,0,0,0,0,0,0,1
"261",1,0,0,0,0,0,0,0,0,0,1
"262",1,0,2,0,0,0,0,2,1,1,1
"263",0,1,0,0,0,0,0,0,0,0,0
"264",1,1,2,0,1,0,0,1,0,1,1
"265",1,0,2,0,0,0,0,0,0,1,0
"266",1,0,0,0,0,0,0,0,0,1,0
"267",0,1,2,2,0,0,0,2,1,0,0
"268",0,1,2,0,0,0,0,0,0,0,0
"269",0,0,0,0,0,0,0,0,1,0,1
"270",1,1,2,2,1,1,0,2,1,1,1
"271",1,0,1,0,0,0,0,0,0,0,0
"272",1,0,2,0,0,0,0,0,0,0,1
"273",0,0,0,0,0,0,0,0,0,0,0
"274",0,1,2,0,0,0,0,0,1,0,1
"275",1,0,2,2,1,1,2,2,1,1,1
"276",0,0,2,0,0,0,1,0,0,0,0
"277",0,0,1,0,0,0,0,0,0,1,0
"278",0,0,2,1,1,1,0,0,0,0,1
"279",1,0,2,0,0,0,1,0,1,0,0
"280",0,1,2,0,0,0,1,0,1,0,1
"281",1,1,2,2,1,0,0,0,0,1,1
"282",1,0,2,0,0,0,0,0,1,1,1
"283",0,1,0,0,0,0,0,0,0,0,0
"284",1,0,2,0,0,0,0,0,0,1,0
"285",0,0,1,0,0,0,0,0,0,0,0
"286",1,1,2,2,0,1,1,0,1,1,1
"287",0,0,0,0,0,0,0,0,0,0,0
"288",1,0,2,0,0,0,0,0,0,1,1
"289",1,0,2,2,1,0,0,0,0,1,0
"290",1,1,0,0,0,0,0,0,0,1,1
"291",0,1,2,2,1,1,2,0,0,1,1
"292",1,0,0,0,0,0,0,0,0,1,0
"293",1,0,0,2,1,0,0,0,0,1,1
"294",1,1,0,0,0,0,0,2,0,1,1
"295",1,1,0,0,0,0,1,0,0,0,0
"296",1,1,2,2,0,0,0,0,1,1,1
"297",1,0,0,0,0,0,0,0,0,0,1
"298",1,1,2,2,1,1,0,2,1,1,1
"299",1,0,2,2,0,1,1,0,1,1,1
"300",0,0,0,0,0,0,0,0,0,0,1
"301",1,1,2,1,0,0,0,0,1,0,1
"302",1,0,1,0,0,0,0,0,1,1,1
"303",0,1,1,0,0,0,0,0,1,1,1
"304",0,0,2,0,0,0,0,0,0,1,0
"305",0,0,0,0,0,0,0,0,0,0,0
"306",0,1,2,0,0,0,0,0,0,1,0
"307",0,1,0,0,0,0,0,0,0,0,0
"308",1,1,2,2,0,0,0,0,0,0,1
"309",0,0,0,0,0,0,0,0,0,0,0
"310",1,0,2,2,1,0,1,0,1,1,1
"311",1,1,0,0,0,0,0,0,0,1,0
"312",0,0,2,0,0,0,0,0,1,1,0
"313",1,1,2,2,0,0,1,0,1,1,1
"314",0,0,0,0,0,0,0,0,0,0,0
"315",0,0,2,0,0,0,0,0,0,0,1
"316",0,0,0,0,0,0,0,0,0,1,0
"317",1,0,2,2,1,0,0,1,1,1,1
"318",0,0,0,0,0,0,0,0,1,0,0
"319",1,0,2,0,0,0,0,0,0,0,0
"320",0,0,2,0,0,0,0,0,0,0,1
"321",0,1,2,0,0,0,0,0,0,1,0
"322",1,0,0,0,0,0,0,0,0,1,0
"323",1,0,0,0,0,0,0,2,1,1,1
"324",1,1,2,2,0,1,2,0,1,1,1
"325",1,1,2,2,0,0,2,1,1,1,1
"326",1,0,0,0,0,0,0,0,0,1,0
"327",1,1,0,0,0,0,0,0,0,1,1
"328",1,1,2,2,1,0,0,0,1,1,1
"329",1,1,2,2,1,1,1,1,1,1,1
"330",0,1,2,0,0,0,0,2,0,1,0
"331",1,1,2,2,1,1,1,0,1,1,1
"332",1,1,0,0,0,0,0,0,1,0,0
"333",1,0,2,2,1,0,0,0,1,0,0
"334",1,1,2,2,0,1,0,0,1,1,1
"335",0,0,0,0,0,0,0,0,0,1,0
"336",1,1,0,0,0,0,0,0,0,0,0
"337",0,1,2,2,1,1,2,0,0,1,0
"338",1,0,2,0,0,0,0,0,0,1,1
"339",1,0,0,0,0,0,0,0,0,0,1
"340",1,1,0,0,0,0,0,0,0,0,0
"341",1,0,2,1,0,0,0,0,1,1,0
"342",1,0,2,0,0,0,1,0,0,1,1
"343",0,0,2,0,0,0,0,0,0,0,0
"344",0,0,0,0,0,0,0,0,0,0,0
"345",0,0,0,0,0,0,0,0,1,1,0
"346",1,0,0,0,0,0,0,0,0,0,0
"347",0,1,2,2,1,1,0,1,0,0,1
"348",0,0,1,0,0,0,0,1,1,0,1
"349",0,0,0,0,0,0,0,0,0,0,0
"350",1,0,2,0,0,0,0,0,0,1,1
"351",1,0,2,0,0,0,0,0,0,0,1
"352",0,0,2,0,0,0,0,0,0,1,0
"353",1,0,2,0,0,0,0,0,1,1,1
"354",0,1,0,1,0,0,0,0,0,0,1
"355",0,1,0,0,0,0,0,0,1,0,1
"356",1,1,2,2,1,1,1,2,1,1,1
"357",1,0,2,2,1,1,2,0,1,0,0
"358",1,0,2,2,0,0,1,2,0,1,1
"359",1,0,2,0,0,0,0,0,0,1,1
"360",1,0,2,0,0,0,0,0,0,0,1
"361",0,0,2,0,0,0,0,0,1,0,0
"362",1,0,1,2,0,0,0,0,1,0,1
"363",1,1,1,0,0,0,0,0,0,1,1
"364",1,1,2,0,0,0,0,0,0,1,0
"365",1,0,2,2,1,0,2,1,1,1,1
"366",1,0,2,0,0,0,0,0,0,1,0
"367",0,0,2,2,0,0,0,0,0,1,0
"368",0,1,2,0,0,0,0,0,0,0,1
"369",0,0,0,0,0,0,0,0,0,0,0
"370",1,0,0,0,0,0,0,0,1,1,0
"371",0,0,2,0,0,0,0,0,0,0,0
"372",1,0,2,2,1,1,0,0,0,1,1
"373",1,0,0,2,0,0,0,0,0,0,1
"374",0,0,0,0,0,0,0,0,1,0,0
"375",1,1,2,2,0,0,0,0,1,1,1
"376",1,1,2,2,0,0,1,0,0,0,1
"377",1,0,1,0,0,0,0,0,0,0,1
"378",1,1,2,2,0,0,2,0,1,1,1
"379",1,0,0,0,0,0,0,0,1,0,0
"380",1,0,0,0,0,0,0,0,0,0,0
"381",1,1,1,2,0,0,0,0,0,1,1
"382",0,1,0,0,0,0,0,0,0,1,0
"383",1,0,2,0,0,0,0,0,1,0,0
"384",1,0,0,0,0,0,0,0,0,0,0
"385",0,0,0,0,0,0,0,0,0,0,0
"386",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"387",0,1,2,0,0,0,0,0,0,1,1
"388",1,0,2,2,1,0,0,0,1,0,0
"389",0,1,2,0,0,0,0,0,0,0,0
"390",1,0,2,0,0,0,0,2,0,0,1
"391",1,1,2,2,0,0,0,0,1,1,1
"392",1,0,0,0,0,0,0,2,0,0,1
"393",0,0,2,0,0,0,0,0,0,1,1
"394",0,1,2,0,0,0,0,0,0,1,1
"395",1,0,2,1,0,0,0,0,1,1,1
"396",1,0,2,0,0,0,1,0,0,0,0
"397",1,1,2,2,1,0,1,0,1,1,1
"398",0,1,0,0,0,0,0,0,0,1,0
"399",1,0,2,2,1,1,0,0,0,1,1
"400",0,1,0,0,0,0,0,2,0,1,1
"401",1,0,0,0,0,0,0,0,1,1,0
"402",1,0,0,2,0,0,0,0,0,0,0
"403",1,1,2,0,0,0,2,0,0,1,0
"404",1,1,2,0,0,0,0,0,1,0,1
"405",1,1,2,0,0,0,1,2,0,1,1
"406",1,0,0,0,0,0,0,0,1,1,1
"407",1,0,0,0,0,0,0,0,0,0,0
"408",1,0,2,0,0,0,0,0,1,0,1
"409",0,0,2,2,1,0,1,0,0,1,1
"410",1,1,2,2,1,1,0,1,1,1,1
"411",1,1,2,2,1,0,1,0,0,1,1
"412",1,0,2,2,0,1,2,2,1,1,1
"413",1,1,2,2,1,0,2,0,1,1,1
"414",1,0,2,2,0,0,0,0,1,1,0
"415",1,0,2,2,1,1,1,1,1,1,0
"416",1,1,2,2,0,1,2,2,1,1,1
"417",1,1,2,1,0,1,2,2,1,1,1
"418",1,0,2,2,0,1,0,0,0,1,1
"419",1,1,2,0,0,0,1,0,1,1,1
"420",1,0,2,2,0,0,0,2,0,0,1
"421",1,1,2,2,0,0,0,0,1,1,1
"422",0,0,2,2,1,0,0,2,1,1,1
"423",1,1,2,0,0,0,0,0,0,0,0
"424",1,1,2,2,1,1,1,2,1,1,1
"425",1,0,2,0,0,0,0,0,1,0,1
"426",0,1,0,0,0,0,0,0,1,0,0
"427",0,1,2,2,1,1,0,0,1,1,1
"428",1,0,2,0,0,0,0,0,0,1,1
"429",1,1,0,0,0,0,0,0,0,0,1
"430",0,0,0,0,0,0,0,0,0,0,1
"431",0,0,2,0,0,0,0,0,1,0,0
"432",0,0,2,2,0,0,0,0,1,1,1
"433",0,1,0,2,0,1,1,0,1,1,1
"434",1,0,0,0,0,0,0,0,0,0,0
"435",1,0,0,0,0,0,0,0,0,0,1
"436",0,0,2,0,0,0,0,0,0,0,0
"437",1,0,2,2,1,1,2,0,1,1,1
"438",1,1,2,2,1,1,0,1,0,1,1
"439",1,0,2,0,0,0,0,1,0,1,0
"440",1,0,2,0,0,0,0,1,1,1,0
"441",1,1,2,0,0,0,1,2,1,1,1
"442",1,0,1,0,0,0,0,0,0,0,0
"443",0,0,2,0,0,0,0,0,1,1,0
"444",0,1,2,2,1,0,0,0,0,0,0
"445",1,0,0,0,0,0,1,0,0,1,0
"446",1,1,1,0,0,0,0,0,0,1,1
"447",1,1,2,0,0,0,0,2,1,1,1
"448",1,0,2,2,0,0,0,2,1,1,1
"449",1,0,2,2,0,0,2,0,1,1,1
"450",1,0,2,0,0,0,0,0,0,0,0
