,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15
362,C,A,B,C,B,C,B,D,A,B,C,C,C,B,C
363,D,C,B,B,C,B,B,B,B,C,B,B,B,B,D
364,A,A,C,C,D,C,A,C,B,C,A,C,A,C,B
365,B,B,D,C,C,B,A,C,B,C,B,C,B,C,C
367,B,B,D,C,C,B,B,B,A,C,A,B,A,B,A
368,A,,C,C,A,C,A,A,C,C,A,C,A,C,A
369,B,A,C,C,B,C,A,C,B,C,A,B,B,C,D
370,C,D,C,B,B,C,A,,B,C,A,C,C,C,
371,A,B,D,D,D,D,A,C,C,A,B,B,B,C,B
373,C,C,B,B,C,B,A,B,B,C,A,C,B,B,C
374,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B
375,A,B,D,D,B,B,A,D,C,C,A,B,A,A,D
376,A,D,D,C,A,A,A,D,A,D,A,A,A,C,A
377,B,C,C,C,C,B,B,B,B,C,B,C,C,C,B
378,C,C,B,B,A,C,A,C,C,B,A,C,C,A,B
379,B,A,D,B,A,C,A,A,B,D,C,D,D,B,C
380,C,B,A,B,C,B,A,C,A,C,A,B,B,A,D
381,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
382,C,C,B,C,B,B,A,C,A,C,A,B,C,B,C
383,B,B,B,C,C,A,B,C,B,C,A,B,B,A,C
384,A,C,C,A,A,A,A,A,A,B,A,A,A,B,A
385,B,C,C,C,C,D,D,C,C,D,C,D,D,D,D
386,B,C,B,B,C,B,A,C,C,C,A,C,B,C,C
387,B,C,A,A,A,,B,C,B,B,B,,A,A,C
390,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
391,A,D,A,A,A,B,A,A,A,B,A,A,C,C,B
393,C,B,B,B,B,B,A,A,B,B,A,A,B,C,C
394,B,C,C,C,C,B,B,C,B,D,B,C,B,C,C
395,C,A,B,A,A,B,A,A,A,A,A,C,C,A,A
396,B,C,D,C,A,A,A,A,B,C,A,B,B,C,A
397,A,B,C,C,B,B,B,B,B,C,B,A,A,B,C
398,B,B,B,D,D,C,A,D,D,D,A,D,A,D,A
399,C,B,A,A,C,B,A,A,A,C,A,B,B,A,C
400,A,D,D,C,B,D,D,D,C,C,D,C,B,B,A
402,C,C,B,C,C,C,B,C,B,D,C,C,C,B,C
403,A,C,C,C,B,B,A,B,C,C,A,C,B,C,B
404,B,C,B,A,A,B,A,C,C,B,A,C,B,B,C
406,C,D,C,C,C,D,C,A,C,C,B,C,C,C,C
407,A,C,C,C,C,B,A,B,C,C,A,C,A,B,B
408,A,C,B,C,B,B,D,C,A,C,A,B,B,C,C
409,B,C,B,D,C,C,B,A,B,A,C,A,B,A,D
410,B,B,C,C,C,C,D,C,D,C,D,C,C,C,B
411,C,C,B,C,C,C,B,C,C,A,A,C,C,A,A
412,B,D,C,B,C,B,C,C,A,C,B,C,C,C,B
414,D,D,D,D,C,A,D,C,A,C,A,C,A,A,A
415,B,B,A,B,A,A,C,B,A,C,B,C,A,B,C
417,A,A,D,C,A,A,A,A,B,C,A,D,C,C,A
418,B,B,A,C,B,A,A,C,A,C,A,A,B,B,D
419,C,B,C,D,C,C,B,C,C,C,B,C,B,C,C
420,B,A,C,C,C,B,A,C,A,D,A,C,B,D,D
421,B,C,C,C,B,C,A,B,B,B,A,C,B,C,B
422,A,A,B,B,B,A,A,C,A,B,A,A,B,B,D
423,A,A,C,D,A,A,A,D,B,A,A,C,A,C,A
424,B,C,C,C,C,B,B,C,C,C,B,D,C,B,A
425,A,B,A,A,C,A,A,A,A,C,A,A,A,A,C
426,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
427,B,B,C,C,C,C,C,B,B,A,A,C,B,B,C
428,A,C,C,D,A,A,A,C,A,A,A,C,C,C,A
429,A,B,A,A,B,C,B,C,A,A,B,B,B,B,A
430,A,A,B,C,A,B,A,C,A,A,A,C,B,C,B
431,C,C,C,B,C,C,B,C,C,C,C,C,C,C,C
432,A,C,C,D,B,B,B,C,A,C,C,C,B,A,B
433,C,B,A,B,B,A,A,A,A,C,A,A,A,A,C
434,C,B,B,C,B,B,B,D,A,D,B,C,B,B,C
435,C,B,C,C,A,A,B,C,A,A,B,C,B,A,A
436,B,C,C,C,C,B,B,B,B,C,B,C,B,B,C
437,B,C,C,C,C,A,A,C,A,D,B,D,B,C,D
438,B,C,B,A,A,A,A,B,A,B,A,C,A,A,C
439,B,B,A,B,A,B,A,A,A,B,A,B,A,A,C
440,C,C,B,B,B,B,B,B,B,B,B,C,B,B,C
441,C,B,C,C,A,B,B,C,B,C,A,B,B,C,B
442,B,B,A,A,A,A,A,A,A,C,A,A,B,B,C
443,A,A,C,C,A,A,A,B,B,B,A,C,B,C,A
444,A,C,C,C,D,B,A,C,B,B,A,C,B,C,B
445,A,B,C,D,B,C,A,D,C,B,C,D,C,C,B
446,A,B,C,C,A,A,A,C,B,B,A,B,B,B,B
447,A,A,B,A,A,A,A,A,B,A,A,C,B,A,C
448,B,B,D,C,C,C,C,C,B,C,B,C,B,C,D
449,B,D,D,C,C,C,C,C,D,B,A,D,A,C,B
450,A,A,C,D,C,B,A,D,A,D,A,C,A,C,D
451,B,B,C,C,A,B,A,B,B,B,A,C,B,B,B
452,C,D,B,C,D,B,B,C,B,D,B,C,B,C,C
453,B,C,D,C,B,B,A,C,C,B,A,C,B,B,B
454,B,C,B,C,B,A,A,B,B,C,A,B,B,B,B
455,A,C,C,B,A,B,C,B,A,B,B,C,C,B,A
456,B,C,D,D,A,B,A,B,D,A,B,C,B,C,A
457,B,C,D,C,B,B,A,C,A,C,B,B,B,B,A
458,B,B,B,C,C,C,A,B,C,D,A,B,A,C,C
459,B,C,D,C,A,A,A,C,B,A,A,D,A,C,C
460,A,A,A,B,C,A,A,C,A,B,A,D,B,B,A
461,B,A,C,C,A,A,A,A,A,C,A,B,B,B,A
462,A,C,A,B,C,A,A,B,A,C,B,A,B,A,C
463,A,B,C,C,A,B,A,C,C,C,A,D,A,C,C
464,B,B,A,A,A,A,A,A,A,A,A,C,B,C,A
465,A,C,B,A,A,A,A,A,A,A,A,B,C,A,A
466,B,B,B,C,C,A,A,C,A,C,A,A,A,B,C
467,A,C,C,C,C,B,A,C,B,B,A,C,B,C,B
468,B,C,D,D,B,A,A,C,B,C,A,C,C,C,B
469,C,B,A,A,C,C,C,C,C,C,B,D,C,D,D
470,C,D,C,C,C,C,A,C,C,C,A,C,D,C,C
471,A,A,D,D,A,A,A,A,A,A,A,A,A,A,A
472,A,B,C,B,A,B,A,B,B,A,B,A,B,A,B
473,A,A,D,D,A,D,A,A,A,D,A,D,D,D,A
474,A,A,C,C,C,C,A,C,A,C,A,C,A,C,C
475,A,C,D,C,B,B,A,B,B,C,B,C,B,C,C
476,A,D,D,D,D,D,D,D,B,D,C,D,B,D,D
477,B,C,C,D,C,B,A,C,A,A,A,B,B,B,B
478,A,A,C,D,A,A,A,D,C,B,A,B,A,B,B
479,A,A,D,D,A,B,A,D,B,A,A,D,A,C,C
480,A,A,A,A,C,A,A,A,A,C,A,A,C,C,D
481,A,A,C,C,B,C,A,C,C,B,A,D,A,D,A
482,B,B,B,D,A,D,A,D,D,A,A,B,A,D,A
483,B,B,C,C,C,C,A,B,A,B,C,C,C,B,B
484,B,A,C,A,A,B,A,A,B,B,B,A,A,C,C
485,B,A,C,C,B,A,A,B,B,B,B,B,A,C,B
486,B,B,C,C,C,B,A,B,A,B,A,C,C,B,C
487,A,C,D,C,B,B,A,D,B,C,A,C,B,C,D
488,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
489,A,D,C,A,A,A,B,C,B,D,C,B,B,A,B
490,B,B,A,C,A,B,B,A,A,B,A,B,A,C,A
491,A,B,B,C,B,B,A,B,A,B,A,B,A,B,B
492,B,B,B,B,C,A,A,B,A,C,A,C,A,A,C
493,B,B,C,C,D,C,B,C,C,C,C,B,C,C,D
494,C,D,C,C,A,C,A,D,B,C,A,C,A,C,A
495,B,C,C,D,B,C,A,C,B,C,B,C,B,C,C
496,B,B,C,C,B,A,A,B,A,C,B,A,C,B,B
497,B,C,C,C,B,A,A,B,C,C,A,B,B,B,C
498,A,B,B,C,B,A,A,B,B,C,B,C,B,B,C
499,A,C,D,C,A,C,A,C,A,C,A,C,B,C,B
500,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
501,B,C,A,A,A,A,C,B,C,B,C,B,B,A,A
502,B,C,D,C,C,C,B,C,C,B,B,D,B,C,B
503,A,B,B,B,B,A,A,B,A,C,A,B,C,B,C
504,A,B,C,B,A,A,A,B,A,A,B,B,B,C,A
505,A,C,C,B,A,B,C,C,A,C,B,C,C,A,B
506,B,C,C,C,B,C,B,C,A,C,B,C,B,D,A
507,C,B,B,C,B,B,B,B,B,A,A,C,C,A,A
508,C,C,C,B,B,B,B,B,B,B,B,B,C,A,B
509,B,C,B,B,B,B,A,A,A,B,A,C,A,C,B
510,A,B,C,C,A,B,A,C,B,A,A,D,B,B,A
511,C,B,C,C,D,C,A,B,D,D,A,B,B,A,C
512,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
513,B,C,C,D,B,C,B,C,C,C,C,C,C,C,C
514,A,C,D,D,A,D,A,B,B,A,A,D,A,C,A
515,B,C,D,D,C,C,A,C,C,C,A,C,B,C,B
516,A,B,C,C,D,A,A,D,B,B,B,C,A,B,B
517,A,A,A,A,D,A,A,A,A,C,A,A,A,B,A
518,B,C,D,C,B,B,A,C,A,B,A,C,A,C,B
519,C,B,C,B,A,A,A,A,A,A,A,B,A,A,B
520,B,C,C,C,D,C,D,D,C,D,B,D,C,C,C
521,A,C,D,D,C,C,A,C,A,C,A,B,A,A,A
522,A,A,D,D,D,D,A,D,B,D,A,D,A,D,A
523,C,B,A,A,A,B,C,A,C,A,A,A,A,A,A
524,A,C,D,C,A,D,C,A,D,A,A,B,A,A,A
525,A,B,B,C,B,B,B,B,B,B,C,C,B,B,B
526,B,B,C,B,B,B,A,D,C,B,C,A,C,B,C
527,B,A,B,B,C,B,A,B,A,B,B,C,C,B,C
528,A,B,B,D,C,C,C,D,A,A,B,A,A,B,C
529,B,A,D,C,A,B,A,C,B,C,A,D,B,D,B
530,D,A,D,B,A,B,A,B,A,A,A,B,C,D,A
531,C,C,C,B,A,C,A,B,A,A,A,C,A,C,A
532,C,B,D,D,B,C,C,C,B,D,C,B,C,B,B
538,A,B,C,C,B,A,A,C,A,D,A,C,B,A,C
539,A,A,B,C,A,C,A,C,A,B,A,C,A,A,A
540,A,A,B,C,A,A,A,B,A,A,A,A,A,A,A
541,B,B,B,B,A,C,B,A,A,A,A,B,A,B,A
542,C,B,C,D,B,C,A,D,C,D,A,D,B,C,C
543,A,B,C,A,A,A,A,A,A,A,A,A,A,A,A
544,A,B,B,B,B,B,A,A,A,A,B,B,B,A,A
545,B,A,C,C,C,A,A,C,A,C,A,C,A,C,C
546,A,C,A,A,A,A,A,A,A,B,A,A,A,B,B
547,B,B,C,C,D,C,B,C,A,C,A,D,D,D,D
548,A,B,D,D,A,C,A,C,C,C,A,C,B,C,A
549,C,A,B,C,B,C,A,B,B,C,A,C,B,C,A
550,A,B,A,A,B,A,A,A,B,A,B,A,B,B,B
551,A,C,D,D,C,C,A,D,B,B,A,C,B,D,C
552,B,C,D,C,B,B,A,B,B,B,C,B,C,C,B
553,B,B,C,C,C,D,A,C,B,C,A,C,B,A,A
554,C,C,B,B,D,B,A,B,B,B,A,B,A,B,A
555,B,C,D,D,C,A,A,D,D,C,A,D,A,C,B
556,A,D,D,D,A,A,A,D,A,A,A,B,A,A,A
557,C,C,C,D,D,C,C,B,B,A,A,B,C,C,B
558,A,A,C,C,A,B,A,C,A,A,A,B,B,B,A
563,A,C,B,C,B,B,A,B,A,C,A,B,A,B,C
564,A,D,D,B,A,A,A,C,C,A,A,C,B,A,A
565,A,C,B,B,C,B,A,B,B,C,A,B,A,C,C
566,B,A,B,B,D,A,A,A,A,D,A,A,A,A,A
567,B,A,B,A,A,A,A,A,A,A,A,A,B,A,D
568,C,D,D,D,A,B,A,B,A,B,B,B,C,B,A
569,B,B,D,C,C,A,A,C,B,C,B,C,B,C,B
570,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
571,B,B,A,C,A,A,B,A,A,A,A,B,A,A,B
572,B,C,B,A,C,B,D,A,C,A,D,A,A,D,A
573,A,C,D,B,C,B,A,C,B,B,A,C,B,B,A
574,B,B,C,D,C,A,A,C,B,B,A,D,B,C,B
575,B,B,C,B,A,A,A,C,C,B,A,B,A,D,A
576,B,A,D,C,D,C,A,B,B,C,B,A,A,C,A
577,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
578,B,B,D,D,C,B,B,B,B,D,B,B,B,B,B
579,A,C,C,C,B,B,A,B,A,B,A,B,B,C,A
580,A,B,C,C,C,A,A,C,C,C,A,B,B,C,B
581,A,A,D,A,A,A,B,A,B,A,A,D,A,B,A
582,A,B,A,A,A,A,D,A,C,B,D,B,D,D,D
583,A,C,B,A,B,C,B,A,C,A,B,C,A,B,A
584,C,B,C,C,B,D,A,C,B,C,A,C,A,C,D
585,B,B,B,C,C,B,A,B,B,C,B,B,B,B,C
586,C,B,D,A,C,C,B,D,C,A,A,C,D,B,C
588,A,B,C,D,A,A,A,D,A,A,A,B,A,B,C
589,C,A,B,B,C,B,A,B,A,C,A,C,A,B,C
590,B,B,C,B,D,B,C,C,C,C,D,D,D,D,D
591,C,B,B,C,B,C,B,C,B,C,B,B,B,C,C
592,C,B,D,C,A,B,A,C,A,A,A,C,C,C,A
593,B,C,C,C,B,B,A,C,A,A,A,B,B,C,A
594,A,A,D,C,A,D,A,C,B,B,A,D,A,C,A
595,B,C,C,C,A,A,A,C,A,A,A,A,A,A,A
597,B,D,D,C,C,C,A,C,B,B,A,C,A,B,B
598,A,B,A,C,A,A,A,C,A,D,A,A,C,B,A
599,C,C,C,C,B,A,A,C,B,C,C,C,B,C,C
600,C,C,C,C,D,B,C,C,B,D,B,D,C,A,D
601,A,C,D,C,C,B,A,C,A,C,B,C,C,A,C
602,B,C,C,B,C,B,A,B,B,B,A,C,C,B,B
603,C,C,C,C,B,B,A,C,C,A,A,C,B,C,A
604,C,C,D,C,C,A,A,B,A,D,A,B,C,A,A
605,A,A,A,C,C,A,A,C,B,D,A,B,C,A,C
606,A,D,C,D,B,C,A,C,C,C,A,C,A,C,A
607,A,C,C,B,D,D,A,C,A,A,A,B,B,A,A
613,A,B,D,C,C,C,A,C,B,C,A,C,B,D,C
614,B,C,B,D,B,D,B,D,B,B,B,D,D,B,B
615,A,C,C,C,B,B,B,C,B,C,B,C,B,B,B
616,A,B,B,C,A,A,A,C,B,A,A,C,B,C,C
617,C,B,C,B,C,C,B,B,A,C,B,B,B,B,C
618,B,C,A,A,C,A,B,A,A,B,C,B,C,A,B
619,A,A,D,A,B,C,A,B,A,B,A,D,A,A,D
620,B,B,C,B,B,A,A,C,B,B,A,C,A,B,C
621,A,B,A,A,A,B,A,A,A,A,A,B,A,D,B
622,A,B,C,B,C,B,C,D,B,B,C,B,D,D,B
623,B,B,B,C,C,C,A,C,B,C,A,C,C,A,A
624,B,D,D,D,B,C,B,C,C,C,A,C,B,D,D
625,B,C,D,B,A,A,A,B,A,A,B,B,B,B,A
626,D,C,C,D,C,D,C,B,C,D,C,B,A,A,A
627,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B
628,C,C,C,C,B,A,A,B,A,B,A,B,A,B,C
629,A,A,C,B,A,A,A,A,A,A,A,A,B,A,A
630,B,C,C,C,B,C,A,B,C,B,B,B,B,C,A
631,B,C,D,C,B,C,B,C,B,C,B,C,C,C,C
632,C,C,B,A,C,A,D,B,C,C,B,C,D,B,A
633,A,A,C,C,B,B,A,A,A,B,B,B,B,B,B
634,D,C,C,C,D,A,D,B,A,A,A,B,B,B,B
635,A,C,D,C,A,B,A,C,A,A,B,C,B,B,C
638,B,A,B,C,B,A,B,C,D,C,C,B,A,B,C
641,B,C,C,C,C,B,A,B,B,C,A,C,B,C,C
642,A,A,C,A,B,A,C,D,B,A,C,A,D,A,C
643,B,B,C,B,A,A,B,B,B,A,A,B,C,B,A
644,C,C,C,C,C,B,B,C,B,C,B,C,B,C,C
645,B,C,A,C,A,A,A,B,A,A,A,C,A,B,B
646,B,A,D,C,B,A,A,B,A,A,A,D,B,C,A
647,A,B,C,B,D,B,A,B,B,C,A,C,A,B,D
648,C,B,C,B,D,C,A,B,D,B,A,B,C,B,D
655,B,C,C,B,C,B,A,C,C,C,A,C,B,B,A
658,A,A,B,C,B,A,A,B,A,D,A,B,A,A,B
660,B,C,C,B,B,C,B,C,B,B,C,B,C,B,C
663,B,B,A,B,A,B,C,A,A,B,A,B,C,B,A
664,A,B,D,B,C,D,A,A,C,C,A,B,C,A,C
665,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
666,C,B,D,A,B,A,A,C,C,A,A,D,A,C,A
667,B,C,D,B,A,D,A,C,A,A,A,D,A,C,A
668,B,C,D,B,A,D,A,C,A,A,A,D,A,C,A
669,A,C,D,D,A,C,A,C,B,B,A,B,A,B,D
670,A,C,C,C,A,A,A,C,B,D,A,B,B,A,C
671,A,A,C,C,C,C,A,C,D,D,A,B,A,A,B
672,B,A,D,C,C,B,A,C,A,C,A,C,A,A,C
673,B,C,C,C,B,B,A,C,C,B,A,C,A,C,A
674,B,C,D,B,B,D,B,B,B,B,A,C,C,B,B
675,A,B,A,B,C,A,B,D,B,D,A,B,A,B,C
676,A,C,C,C,C,B,B,C,A,D,C,C,A,A,C
677,B,C,D,D,A,A,D,D,C,B,C,D,B,D,A
678,C,C,C,C,C,C,C,C,A,C,B,B,B,C,B
679,A,B,C,C,B,C,A,A,B,B,A,A,B,C,C
680,A,D,D,C,B,C,A,D,B,C,B,D,A,B,B
681,B,C,C,B,C,C,A,C,B,B,B,B,C,B,C
682,B,A,D,C,A,D,A,C,A,A,B,B,B,C,B
683,A,A,A,C,B,D,D,D,C,C,A,A,C,B,C
684,A,C,D,D,A,A,A,C,A,A,A,C,C,B,A
685,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
688,D,C,C,C,C,C,C,C,B,B,B,C,B,B,B
689,A,C,B,C,B,A,A,B,B,B,A,A,B,B,C
690,A,D,A,D,C,A,A,D,A,A,A,A,A,A,C
691,B,C,C,B,B,C,C,C,C,D,D,C,D,D,D
692,C,B,C,C,C,C,B,C,D,D,B,B,B,C,C
693,B,B,C,D,B,C,B,C,C,C,B,C,B,C,C
694,A,B,B,B,A,C,B,A,A,C,C,C,D,C,B
695,C,C,C,C,C,B,B,C,A,C,B,C,B,C,C
696,A,C,C,C,A,A,A,A,A,A,B,A,A,A,
697,A,C,B,B,A,A,A,A,A,A,A,B,A,A,B
698,A,B,C,A,A,B,A,B,A,A,A,C,C,A,A
699,B,C,B,B,B,B,B,C,A,D,A,A,A,C,C
700,A,C,C,C,A,C,B,C,B,A,C,D,C,B,A
701,B,C,C,C,B,C,C,C,C,B,B,C,C,C,B
702,B,B,C,B,A,A,A,A,B,B,A,A,A,A,B
703,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
704,D,A,A,B,C,A,A,A,A,C,A,A,B,A,C
705,B,C,C,D,C,B,A,C,A,D,A,C,B,B,D
706,B,A,C,D,D,B,A,C,B,C,A,C,C,C,D
707,C,B,B,B,B,B,B,B,B,B,B,B,B,B,C
708,C,B,D,D,C,B,B,C,B,D,B,C,B,B,C
712,B,B,C,C,C,A,A,B,B,C,A,C,C,C,B
713,B,C,C,C,C,B,A,C,B,C,B,C,A,C,C
714,A,C,C,C,C,B,A,C,B,C,B,C,A,C,C
715,C,D,C,B,D,A,D,C,D,C,D,C,C,D,C
716,B,A,D,C,D,C,A,C,B,C,A,B,B,C,C
717,A,B,C,C,A,A,A,C,A,A,A,C,A,A,A
718,C,B,B,B,A,B,A,A,B,A,A,A,A,B,B
719,B,B,D,C,A,A,A,B,B,C,B,B,A,C,C
720,C,C,D,D,D,A,A,D,A,C,A,D,A,D,A
721,C,C,A,A,A,A,A,B,A,A,A,A,C,A,A
722,B,B,D,D,A,B,,D,,C,A,D,,,D
723,A,B,B,B,A,A,A,B,B,A,A,B,B,A,B
724,B,B,D,C,B,B,A,C,A,A,A,C,A,B,C
725,A,D,D,C,B,D,A,D,C,A,B,D,B,A,A
726,D,D,C,B,B,B,B,A,C,A,A,A,A,D,D
727,A,C,D,C,D,C,A,D,C,C,A,D,A,D,D
728,A,B,B,C,C,C,A,B,C,A,C,B,B,C,C
729,B,B,C,C,A,B,A,C,A,A,A,C,A,B,A
730,A,D,D,D,A,B,A,D,C,A,,B,C,D,A
731,B,B,D,D,B,D,C,D,D,B,B,B,C,D,B
738,C,C,C,C,B,D,D,D,C,C,C,B,B,B,C
739,B,A,C,C,A,B,A,B,B,C,A,C,D,B,B
740,B,C,C,C,A,B,B,C,A,A,A,C,A,C,A
741,C,B,A,B,B,A,A,B,B,C,A,C,B,A,C
742,A,B,C,C,A,A,A,C,A,A,A,C,B,B,C
745,B,C,C,C,C,C,B,C,B,C,C,C,C,C,C
746,B,C,B,B,C,B,A,B,B,C,B,B,B,B,C
747,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B
748,B,A,C,B,C,C,A,C,B,B,B,C,B,C,A
751,B,B,C,C,C,C,A,C,B,B,C,C,C,D,C
752,B,B,C,C,B,B,B,C,C,C,B,C,B,B,A
753,B,D,B,C,A,D,C,B,C,B,C,A,B,C,D
754,B,C,B,B,B,B,B,D,C,C,C,B,B,B,B
755,A,B,B,C,A,A,B,C,B,B,C,C,C,C,C
756,C,A,C,B,A,C,C,B,B,A,,C,C,C,B
757,B,B,B,B,C,B,A,A,A,B,A,A,A,A,B
758,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A
759,B,C,D,D,D,C,A,D,A,D,A,D,B,D,D
