,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55
1,A,D,A,A,B,B,C,A,C,B,D,D,A,A,C,B,B,A,C,A,A,D,A,B,B,B,A,B,A,C,D,C,A,C,D,D,D,C,A,B,A,E,B,B,A,A,B,,,,D,,,,C,A,A,B,C,C,B
2,B,A,C,E,D,D,D,D,D,D,D,D,D,D,C,D,D,C,D,B,D,D,B,D,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
3,B,A,C,E,B,B,C,B,B,A,A,B,A,B,C,B,C,C,B,A,B,C,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
4,B,B,C,E,A,D,D,A,D,A,D,D,A,A,A,D,D,A,D,A,A,D,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
5,B,C,A,E,A,C,C,A,C,B,C,C,A,B,B,D,D,B,D,A,C,C,B,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
6,A,B,C,C,C,C,D,D,D,A,D,D,A,B,B,D,D,D,D,A,D,D,A,D,C,C,C,A,E,D,D,D,D,D,D,D,D,D,D,C,C,A,C,C,F,A,B,A,,,,,,,D,D,D,D,D,D,D
7,B,C,A,E,B,B,B,B,B,B,B,B,B,C,C,C,C,A,C,B,C,C,B,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
8,A,C,D,A,A,C,C,D,D,A,C,C,A,B,B,C,D,A,C,A,D,C,A,B,C,D,C,A,E,C,D,C,D,C,B,D,C,A,B,A,A,E,A,D,E,A,A,,,,D,,,,C,A,C,B,D,C,D
9,A,B,D,A,D,B,D,D,C,A,C,D,A,B,D,C,D,D,D,A,C,D,A,D,C,B,A,A,D,D,C,D,D,C,A,C,D,A,D,C,B,E,B,,,B,A,,,,D,,,,C,D,C,A,A,C,D
10,B,B,C,E,B,C,B,A,B,A,C,B,A,B,A,C,B,A,B,A,B,D,A,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,,,I,,F,,,,,,,G,E,E,E,E,E,E,E
11,B,B,A,E,B,C,C,A,C,A,C,C,A,B,B,C,C,A,C,A,C,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
12,B,B,A,E,B,C,C,A,C,A,C,C,A,B,C,C,C,B,C,A,C,D,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
13,A,C,C,A,A,B,B,C,B,A,C,D,B,D,A,C,D,B,C,A,C,D,A,A,B,C,B,A,E,D,B,D,D,D,D,D,D,C,D,C,B,C,B,C,D,B,B,,,,D,,,,B,C,A,B,A,B,A
14,B,D,B,E,B,B,C,A,B,B,B,B,B,B,B,B,A,A,B,A,B,B,A,A,C,B,C,A,E,C,B,B,D,C,D,C,C,D,B,C,D,B,B,C,E,C,C,A,,,,,,,D,C,D,B,D,C,C
15,A,B,C,C,B,B,B,B,C,A,D,D,A,B,C,C,B,B,D,B,C,D,B,D,B,B,A,B,A,C,C,B,A,C,D,C,C,D,B,C,B,B,B,B,E,A,B,,,,D,,,,C,D,B,D,B,C,C
17,B,B,A,E,B,C,A,D,D,A,C,B,B,B,D,D,D,A,D,B,D,D,B,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
18,B,B,D,E,A,D,D,A,D,A,D,D,A,C,B,B,B,B,A,A,A,B,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
19,B,A,A,E,D,D,D,D,D,B,D,D,A,D,C,C,D,A,C,A,C,C,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
20,B,A,D,E,A,D,D,D,A,A,D,D,A,A,A,D,D,A,A,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
21,B,A,A,E,B,B,B,A,C,A,C,B,A,A,D,D,D,D,D,B,D,D,B,B,D,F,D,E,F,D,D,D,D,D,C,D,D,C,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
22,B,B,C,E,C,D,D,B,D,A,D,D,A,B,C,A,C,C,A,A,A,A,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
23,B,B,A,E,B,D,B,A,D,A,D,C,A,A,A,A,C,A,A,A,A,C,A,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
24,B,B,C,E,C,C,D,D,C,A,C,C,A,B,C,C,C,A,C,A,C,C,A,C,C,C,C,E,F,D,C,C,D,D,D,C,D,D,D,E,E,B,C,D,D,B,A,,,,D,,,,C,D,D,D,D,E,E
25,B,B,C,E,B,D,D,A,D,A,D,D,A,B,D,D,D,B,D,A,D,D,A,C,D,F,D,E,F,D,D,D,B,D,A,D,D,A,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
26,B,A,A,E,A,B,B,C,D,A,C,D,A,C,C,C,C,D,D,A,B,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
27,B,B,B,E,B,C,C,B,C,A,C,C,B,B,B,C,C,C,B,A,B,D,A,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
28,A,B,B,C,B,B,B,B,B,A,B,B,A,A,C,B,B,B,B,A,B,B,A,A,B,B,C,A,C,C,B,B,B,B,B,B,C,B,A,C,A,C,B,B,F,A,A,,,,D,,,,D,A,A,C,B,A,B
29,B,B,C,E,C,D,D,D,D,A,D,D,A,C,C,D,D,C,D,A,D,D,A,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,C,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
30,B,A,B,E,C,D,D,A,D,B,D,D,B,D,A,B,C,A,C,A,C,D,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
31,B,A,A,E,A,B,C,B,B,A,C,B,A,B,B,B,C,A,B,A,B,B,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
32,B,A,A,E,B,C,C,A,C,A,C,C,A,B,B,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
33,B,A,C,E,A,B,C,D,B,B,B,D,B,A,A,B,B,A,B,A,B,D,A,B,C,C,C,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,G,E,F,,,C,D,,,,E,E,E,E,E,E,E
34,B,B,C,E,C,D,D,D,D,A,D,D,A,D,B,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
35,A,A,B,C,D,B,D,D,B,B,C,D,B,B,A,B,C,A,B,A,B,D,A,D,C,D,B,A,E,D,D,D,D,B,D,C,D,D,D,D,C,A,A,C,H,D,E,A,,,,,,,D,D,C,D,C,C,C
36,B,B,B,E,B,D,D,D,D,A,D,D,A,D,A,A,B,B,B,A,B,B,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
37,B,A,D,E,A,D,D,D,D,A,D,D,A,B,B,D,D,B,D,A,C,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
38,B,A,D,E,C,D,D,B,D,A,D,D,A,D,C,B,B,B,B,A,B,B,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
39,B,A,B,E,B,C,C,B,C,B,D,B,B,B,B,C,C,B,C,A,B,C,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
40,B,A,B,E,B,D,D,A,D,A,D,D,A,C,C,D,D,C,C,A,A,B,B,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
41,B,B,A,E,D,C,A,D,D,D,D,D,D,D,A,B,B,A,B,A,A,C,A,B,D,F,D,E,F,D,D,D,D,D,A,D,D,A,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
42,B,A,A,E,D,C,D,C,B,B,C,B,A,B,C,B,C,A,C,B,C,D,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
43,A,B,A,A,C,C,C,D,B,B,B,D,B,B,C,B,B,D,B,A,B,B,A,B,C,B,C,A,D,D,C,C,D,B,D,B,D,D,B,D,C,A,A,C,H,B,E,A,,,,,,,D,D,D,B,D,D,B
44,B,A,D,E,C,D,D,A,D,A,D,D,A,B,C,D,D,A,D,A,D,D,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
45,B,A,D,E,A,D,D,A,D,A,D,D,A,A,A,B,B,B,B,A,B,A,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
46,B,A,D,E,A,B,C,A,C,A,C,C,A,B,A,A,A,A,A,A,A,A,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
47,B,A,A,E,C,C,D,B,D,B,D,D,B,B,C,D,D,A,C,A,C,C,A,B,D,F,D,E,F,C,C,C,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
48,B,B,A,E,B,C,B,A,D,A,D,D,A,D,C,C,B,A,C,A,B,D,A,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
49,A,A,C,C,C,B,C,D,C,B,C,B,B,D,D,C,D,B,C,B,C,C,B,B,C,C,C,A,E,D,B,D,D,C,D,D,D,D,D,D,B,A,A,B,H,B,E,A,,,,,,,C,B,B,B,C,B,C
50,B,C,A,E,B,C,A,D,D,A,D,B,B,B,C,C,B,B,C,A,A,C,A,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
51,B,B,A,E,A,B,B,A,C,A,C,C,A,B,B,C,C,A,C,B,C,C,B,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
52,B,A,B,E,A,D,D,A,D,A,D,D,A,D,B,D,C,A,B,A,D,D,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
53,B,C,B,E,C,D,D,D,D,A,D,D,A,D,B,D,D,A,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
54,B,B,A,E,C,D,D,B,D,B,D,D,B,C,B,C,C,B,C,A,C,C,A,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
55,B,A,A,E,B,C,C,A,C,A,C,D,B,A,B,D,B,B,C,A,C,C,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
56,B,A,A,E,B,D,D,D,D,B,D,D,B,D,D,D,D,D,D,B,D,D,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
57,B,B,D,E,A,B,C,A,C,B,B,B,A,C,B,C,D,B,B,A,C,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
58,A,B,D,A,B,B,A,D,B,B,B,C,A,A,B,C,C,A,C,A,C,C,A,C,C,C,B,A,D,B,C,B,D,A,D,B,D,C,B,B,A,B,C,C,E,A,A,,,,D,,,,A,B,B,C,B,B,B
59,A,B,B,A,A,C,C,B,C,A,C,D,B,C,B,C,C,B,C,B,C,D,C,C,C,B,C,B,A,C,D,C,C,C,D,C,D,C,C,C,C,C,B,C,B,B,C,,,,D,,,,C,D,B,A,C,D,B
60,B,C,A,E,C,D,D,D,D,B,D,D,B,D,D,D,D,D,D,D,D,D,C,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
61,B,B,B,E,B,C,B,A,D,A,D,D,A,C,B,D,C,A,D,A,D,D,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
62,B,C,B,E,D,D,D,D,D,A,D,D,A,A,D,D,D,D,D,A,D,D,A,D,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
63,A,B,A,C,C,D,C,B,D,B,C,D,B,D,C,D,C,B,D,B,C,D,B,B,C,C,B,B,C,C,D,D,C,D,C,D,D,D,D,C,B,B,D,B,D,B,C,,,,D,,,,D,C,B,C,B,B,B
64,B,B,A,E,A,C,C,A,D,A,C,C,B,B,C,D,D,A,D,A,D,D,D,A,D,F,D,E,F,C,D,D,B,D,B,D,D,B,C,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
65,B,C,A,E,C,D,D,B,D,B,D,D,B,C,C,D,D,C,D,B,D,D,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
66,B,A,A,E,C,C,D,A,D,A,D,D,A,C,B,C,B,A,D,A,C,C,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,,F,,,,,,,G,E,E,E,E,E,E,E
67,B,C,C,E,C,D,C,A,D,B,C,D,B,B,D,D,D,A,D,A,D,D,A,B,D,F,D,E,F,C,D,D,B,D,A,D,D,B,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
68,A,B,A,A,B,D,D,D,D,B,D,D,C,D,B,D,D,B,D,A,D,D,A,D,B,C,B,A,E,D,D,A,D,D,D,D,D,D,D,B,B,B,D,C,E,B,B,,,,D,,,,D,D,C,B,B,B,C
69,A,B,C,C,A,B,B,B,B,B,C,C,B,B,C,B,B,A,C,A,B,D,A,B,B,C,C,A,E,B,B,A,C,C,D,B,D,D,A,B,B,B,A,C,F,B,B,,,,D,,,,B,B,C,A,B,B,B
70,B,C,A,E,D,D,D,C,D,B,D,D,B,B,D,D,D,D,D,D,D,D,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
71,B,C,B,E,B,D,C,D,D,B,D,D,B,C,C,C,D,D,D,B,D,D,B,D,D,F,D,E,F,D,C,B,D,D,B,D,D,B,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
72,B,A,C,E,B,C,D,A,D,A,C,C,A,A,B,A,B,B,B,A,B,B,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
73,B,A,B,E,B,C,B,A,C,A,C,B,A,C,B,B,A,A,B,A,C,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
74,B,A,C,E,C,C,B,A,C,A,C,C,A,A,C,C,A,C,C,A,C,C,A,C,D,C,C,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,D,G,E,D,,,,D,,,,E,E,E,E,E,E,E
75,B,A,D,E,A,C,D,B,D,A,D,D,A,A,A,C,D,A,C,A,C,D,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
76,B,A,C,E,B,D,D,D,D,A,D,A,B,B,B,B,A,B,A,B,C,A,B,C,,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
77,B,A,B,E,A,C,C,B,B,A,C,C,A,B,B,C,C,B,C,A,C,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
78,B,A,B,E,B,C,C,A,C,A,C,C,A,C,C,C,C,A,C,A,C,C,A,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
79,B,A,C,E,C,D,D,C,D,B,D,D,B,D,C,D,D,C,D,B,D,D,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
80,B,A,B,E,A,C,C,D,D,A,C,C,A,D,B,C,B,A,C,A,D,D,A,D,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
81,B,B,A,E,C,C,D,B,C,A,D,D,A,B,D,D,D,A,D,A,D,D,A,A,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
82,B,D,A,E,A,D,D,B,D,B,C,D,B,C,C,D,D,C,D,C,D,D,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
83,B,A,B,E,B,D,D,A,D,A,D,D,A,B,C,D,D,A,D,A,D,D,A,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
84,A,B,D,A,D,C,D,D,D,A,D,D,B,B,A,D,D,D,D,B,D,D,A,A,D,B,B,A,E,D,D,D,D,D,D,D,D,D,A,A,D,E,B,D,G,B,A,A,,,,,,,C,D,D,D,D,D,B
85,A,B,A,D,D,C,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,C,A,E,D,D,D,D,D,D,D,D,D,D,D,C,C,C,C,F,C,B,,,,D,,,,C,D,C,C,B,D,D
86,B,B,B,E,C,D,D,D,D,B,B,D,B,C,D,A,A,D,A,A,C,D,A,D,C,F,D,E,E,C,C,C,C,C,C,C,C,C,C,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
87,B,A,B,E,B,C,B,B,B,A,C,D,A,B,B,B,C,B,B,A,B,A,A,C,B,B,C,E,E,D,D,D,D,D,D,D,D,D,D,D,D,B,D,C,G,B,D,,,,D,,,,D,D,D,D,D,C,C
88,B,B,B,E,C,D,D,D,D,B,D,D,B,B,C,D,D,D,D,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
89,B,B,A,C,C,C,D,B,B,A,C,D,A,B,B,D,D,D,D,A,C,D,A,C,B,D,C,A,E,D,D,D,D,D,D,D,D,D,D,A,A,B,A,C,G,A,D,A,,,,,,,D,E,E,E,E,E,E
90,B,B,B,E,B,C,D,D,C,B,C,C,B,C,B,C,D,D,C,B,C,C,B,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
91,B,A,B,E,D,D,D,C,D,B,D,D,B,C,D,D,D,D,D,B,D,D,B,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
92,B,B,C,E,C,C,C,B,C,A,D,C,B,B,C,C,C,B,C,A,C,B,A,B,D,F,D,E,F,D,D,D,D,D,A,D,D,A,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
93,B,A,D,E,A,C,B,B,B,C,D,D,B,B,C,A,A,A,A,A,A,A,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,,I,E,F,,,,,,,G,E,E,E,E,E,E,E
94,B,A,C,E,B,D,D,A,D,B,D,C,A,B,B,D,D,B,D,A,D,D,A,D,B,C,C,E,F,D,D,C,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
95,B,B,A,E,A,D,D,A,D,B,D,D,B,B,C,C,C,A,C,A,C,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
96,B,B,C,E,B,D,D,A,D,A,C,D,A,B,B,A,A,A,A,A,A,A,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
98,B,A,B,E,B,B,C,A,B,B,C,C,B,B,B,C,D,C,A,A,C,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
